"","num_Mandatory","num_Gov","num_Medicaid","num_Naloxone","CoBRAS_Scale","Stigma_Scale_Score","dmale","ddem","dlean_DEM","dindependent_non_identified","dlean_rep","drep","dless_HS","dHS","dsome_col","dage30_44","dage45_59","dage60_plus","dNortheast","dMidwest","dWest","dSouth","race_BLACK","race_HISPANIC","race_ASIAN","race_OTHERMIXED","incomedummy_25to49K","incomedummy_50to84K","incomedummy_85to150K","incomedummy_OVER150K","dPersonal_use_ever","dFamily_use_ever","dPersonal_conviction_ever","dFamily_conviction_ever"
"122",4,4,4,4,3.25,3.33333333333333,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"123",4,3,3,5,4.5,3.66666666666667,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
"124",2,3,4,5,3.625,3,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1
"125",5,5,5,5,2.5,3.16666666666667,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,1
"126",4,4,3,5,3.625,4.16666666666667,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"127",5,5,5,5,1,1.83333333333333,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
"128",3,3,3,5,3,3.5,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1
"129",2,3,3,2,2,2.83333333333333,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
"130",2,4,4,4,3,2.66666666666667,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"131",4,4,4,4,2.75,2.66666666666667,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1
"132",2,4,5,5,2.25,4.5,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1
"133",3,4,5,5,2,2.5,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"134",4,3,2,2,2.75,3.66666666666667,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
"135",4,3,5,4,4,3.33333333333333,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
"136",1,4,5,3,1.875,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"137",5,5,5,3,4.5,3,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
"138",5,5,5,5,3.375,3.66666666666667,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"139",5,5,5,5,1.57142857142857,2.33333333333333,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"140",1,1,1,1,5,5,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"141",3,3,3,3,4.25,3,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"142",4,5,5,5,2.5,2.83333333333333,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1
"143",4,5,5,5,1.5,3.16666666666667,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1
"144",3,3,4,4,2.375,3.33333333333333,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"145",3,4,4,3,2,3.83333333333333,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
"146",3,4,5,2,2.375,3.5,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
"147",3,2,4,5,3.75,3.33333333333333,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
"148",4,1,1,1,4.75,3.83333333333333,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
"149",3,3,3,3,2,3,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0
"150",2,5,5,4,2.25,2.66666666666667,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0
